TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
188618835756;1143782;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;8922068;0;0;35810;0;BPRED
188618836140;107;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;414;0;0;143;0;BPRED
188618836255;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;1012;0;0;231;0;BPRED
188618836492;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;525;0;0;206;0;BPRED
188618836569;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;1632;0;0;145;0;BPRED
188618836889;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;192;0;0;58;0;BPRED
188618836934;53631;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;416930;0;0;2281;0;BPRED
188618890574;53808;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;423315;0;0;2080;0;BPRED
188618944389;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;414447;0;0;1159;0;BPRED
188618997658;53325;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;416023;0;0;1600;0;BPRED
188619050992;53441;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;417222;0;0;2036;0;BPRED
188619104441;53123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;413734;0;0;921;0;BPRED
188619157571;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;416630;0;0;1793;0;BPRED
188619210951;53554;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;418010;0;0;2219;0;BPRED
188619264517;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;414484;0;0;1157;0;BPRED
188619317779;53473;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;417039;0;0;2180;0;BPRED
188619371276;53333;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;416818;0;0;1704;0;BPRED
188619424617;53274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;414641;0;0;1133;0;BPRED
188619477899;53304;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;416037;0;0;1670;0;BPRED
188619531210;53308;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;415966;0;0;1615;0;BPRED
188619584526;53122;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;413842;0;0;894;0;BPRED
188619637655;53508;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;417908;0;0;1982;0;BPRED
188619691188;53295;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;416028;0;0;1636;0;BPRED
188619744491;53129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;413850;0;0;921;0;BPRED
188619797628;53292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;416031;0;0;1567;0;BPRED
188619850927;53303;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;415948;0;0;1596;0;BPRED
188619904241;75289;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;0;0;0;586062;0;0;1658;0;BPRED
188620435742;1145947;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;8908486;0;0;25781;0;BPRED
188620435774;122;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414;0;0;147;0;BPRED
188620435903;210;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;1012;0;0;228;0;BPRED
188620436122;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;180;0;0;41;0;BPRED
188620436165;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;1632;0;0;137;0;BPRED
188620436496;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;192;0;0;56;0;BPRED
188620436544;53537;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;416398;0;0;1928;0;BPRED
188620490088;53423;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;416006;0;0;1598;0;BPRED
188620543518;53150;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;412524;0;0;468;0;BPRED
188620596675;53311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414708;0;0;1159;0;BPRED
188620649993;53329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414708;0;0;1164;0;BPRED
188620703329;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;413838;0;0;838;0;BPRED
188620756567;53302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414714;0;0;1130;0;BPRED
188620809877;53307;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414711;0;0;1129;0;BPRED
188620863192;53161;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;412524;0;0;484;0;BPRED
188620916360;53326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414773;0;0;1208;0;BPRED
188620969693;53411;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;415918;0;0;1502;0;BPRED
188621023112;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;413816;0;0;857;0;BPRED
188621076345;53306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414679;0;0;1209;0;BPRED
188621129658;53377;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;415502;0;0;1456;0;BPRED
188621183042;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;413839;0;0;844;0;BPRED
188621236319;53425;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414694;0;0;1147;0;BPRED
188621289754;53600;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;416538;0;0;1741;0;BPRED
188621343364;53416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414476;0;0;841;0;BPRED
188621396789;53425;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;415253;0;0;1200;0;BPRED
188621450224;53389;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;414694;0;0;1162;0;BPRED
188621503623;78057;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;1;0;0;605409;0;0;1236;0;BPRED
188622035751;1148991;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;8940209;0;0;29945;0;BPRED
188622035780;114;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;415;0;0;156;0;BPRED
188622035900;255;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;1191;0;0;240;0;BPRED
188622036162;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;180;0;0;50;0;BPRED
188622036208;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;1631;0;0;123;0;BPRED
188622036536;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;191;0;0;52;0;BPRED
188622036585;53580;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416277;0;0;1868;0;BPRED
188622090174;53456;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;415985;0;0;1581;0;BPRED
188622143639;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;413819;0;0;867;0;BPRED
188622196917;53348;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;414709;0;0;1141;0;BPRED
188622250273;53318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;414708;0;0;1170;0;BPRED
188622303600;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;413825;0;0;839;0;BPRED
188622356866;53344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;414711;0;0;1150;0;BPRED
188622410217;53605;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416373;0;0;1929;0;BPRED
188622463829;53120;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;413735;0;0;831;0;BPRED
188622516956;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;414711;0;0;1127;0;BPRED
188622570203;53205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;414615;0;0;1202;0;BPRED
188622623415;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;413829;0;0;846;0;BPRED
188622676535;53326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416001;0;0;1667;0;BPRED
188622729868;53313;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416042;0;0;1609;0;BPRED
188622783188;53290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;414666;0;0;1149;0;BPRED
188622836487;53455;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416120;0;0;1658;0;BPRED
188622889949;53501;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416105;0;0;1620;0;BPRED
188622943458;53307;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;413844;0;0;918;0;BPRED
188622996774;53570;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416649;0;0;1971;0;BPRED
188623050352;53455;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;416120;0;0;1671;0;BPRED
188623103817;80918;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;2;0;0;628424;0;0;1641;0;BPRED
188623635766;1152543;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;8971514;0;0;32441;0;BPRED
188623635789;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;414;0;0;141;0;BPRED
188623635907;245;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;1191;0;0;232;0;BPRED
188623636161;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;180;0;0;43;0;BPRED
188623636204;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;1632;0;0;121;0;BPRED
188623636526;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;192;0;0;64;0;BPRED
188623636576;53690;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;417366;0;0;2157;0;BPRED
188623690275;53442;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;415967;0;0;1546;0;BPRED
188623743724;53179;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;412513;0;0;496;0;BPRED
188623796910;53456;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;416053;0;0;1472;0;BPRED
188623850376;53360;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;414709;0;0;1188;0;BPRED
188623903744;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;413808;0;0;884;0;BPRED
188623957002;53560;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;416578;0;0;1798;0;BPRED
188624010570;53466;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;416662;0;0;1849;0;BPRED
188624064047;53183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;413810;0;0;875;0;BPRED
188624117239;53539;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;417791;0;0;1986;0;BPRED
188624170787;53326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;414721;0;0;1288;0;BPRED
188624224122;53200;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;414469;0;0;1112;0;BPRED
188624277330;53468;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;417386;0;0;2187;0;BPRED
188624330805;53430;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;416693;0;0;1942;0;BPRED
188624384242;53209;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;414639;0;0;906;0;BPRED
188624437459;53612;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;416761;0;0;1865;0;BPRED
188624491084;53465;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;416011;0;0;1647;0;BPRED
188624544560;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;413832;0;0;921;0;BPRED
188624597839;53426;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;415980;0;0;1602;0;BPRED
188624651272;53394;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;416042;0;0;1610;0;BPRED
188624704676;83622;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;3;0;0;650778;0;0;1655;0;BPRED
188625235764;1154379;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;8989052;0;0;30003;0;BPRED
188625235790;120;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;414;0;0;149;0;BPRED
188625235918;254;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;1191;0;0;243;0;BPRED
188625236180;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;180;0;0;50;0;BPRED
188625236224;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;1631;0;0;123;0;BPRED
188625236547;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;191;0;0;60;0;BPRED
188625236599;53526;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;417320;0;0;2074;0;BPRED
188625290132;53406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;415833;0;0;1494;0;BPRED
188625343547;53170;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;413783;0;0;844;0;BPRED
188625396724;53364;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;415980;0;0;1544;0;BPRED
188625450096;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;414696;0;0;1156;0;BPRED
188625503335;53146;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;414108;0;0;852;0;BPRED
188625556489;53228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;414698;0;0;1188;0;BPRED
188625609724;53319;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;415935;0;0;1535;0;BPRED
188625663050;53062;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;412516;0;0;493;0;BPRED
188625716119;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;414697;0;0;1172;0;BPRED
188625769380;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;414698;0;0;1184;0;BPRED
188625822635;53135;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;413817;0;0;833;0;BPRED
188625875782;53364;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;416010;0;0;1678;0;BPRED
188625929154;53329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;415958;0;0;1601;0;BPRED
188625982491;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;413862;0;0;920;0;BPRED
188626035689;53467;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;416605;0;0;1617;0;BPRED
188626089164;53609;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;416762;0;0;1815;0;BPRED
188626142782;53591;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;414188;0;0;1260;0;BPRED
188626196395;53405;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;416028;0;0;1645;0;BPRED
188626249809;53452;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;416484;0;0;1870;0;BPRED
188626303273;86862;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;4;0;0;676133;0;0;1703;0;BPRED
188626835762;1158058;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;9015854;0;0;30119;0;BPRED
188626835787;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;414;0;0;150;0;BPRED
188626835903;252;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;1191;0;0;245;0;BPRED
188626836163;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;180;0;0;53;0;BPRED
188626836204;306;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;1631;0;0;119;0;BPRED
188626836519;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;192;0;0;56;0;BPRED
188626836569;53540;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;416447;0;0;1942;0;BPRED
188626890117;53416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;414678;0;0;1257;0;BPRED
188626943541;53518;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;415007;0;0;1212;0;BPRED
188626997067;53496;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;415972;0;0;1594;0;BPRED
188627050572;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;414697;0;0;1174;0;BPRED
188627103828;53141;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;413808;0;0;861;0;BPRED
188627156982;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;414677;0;0;1181;0;BPRED
188627210215;53495;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;417423;0;0;1891;0;BPRED
188627263718;53075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;412513;0;0;515;0;BPRED
188627316800;53300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;415993;0;0;1504;0;BPRED
188627370107;53209;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;414687;0;0;1134;0;BPRED
188627423323;53067;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;412513;0;0;484;0;BPRED
188627476397;53350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;415900;0;0;1542;0;BPRED
188627529754;53389;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;415949;0;0;1632;0;BPRED
188627583150;53185;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;413857;0;0;915;0;BPRED
188627636343;53510;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;416024;0;0;1581;0;BPRED
188627689867;53449;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;416473;0;0;1506;0;BPRED
188627743323;53290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;413793;0;0;875;0;BPRED
188627796622;53525;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;416903;0;0;1836;0;BPRED
188627850156;53347;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;415946;0;0;1564;0;BPRED
188627903529;90281;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;5;0;0;703652;0;0;2365;0;BPRED
188628435796;1163628;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;9047381;0;0;31369;0;BPRED
188628435838;125;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;414;0;0;148;0;BPRED
188628435972;267;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;1191;0;0;247;0;BPRED
188628436247;37;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;180;0;0;46;0;BPRED
188628436294;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;1631;0;0;117;0;BPRED
188628436617;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;191;0;0;62;0;BPRED
188628436669;53650;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;417125;0;0;2070;0;BPRED
188628490327;53478;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;415963;0;0;1578;0;BPRED
188628543813;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;413798;0;0;874;0;BPRED
188628597095;53359;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;414668;0;0;1192;0;BPRED
188628650462;53547;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;416787;0;0;1781;0;BPRED
188628704017;53244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;413721;0;0;833;0;BPRED
188628757268;53397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;416107;0;0;1499;0;BPRED
188628810672;53329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;414667;0;0;1214;0;BPRED
188628864008;53233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;413819;0;0;834;0;BPRED
188628917248;53408;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;415957;0;0;1516;0;BPRED
188628970663;53315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;414630;0;0;1197;0;BPRED
188629023985;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;413808;0;0;835;0;BPRED
188629077231;53467;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;415955;0;0;1637;0;BPRED
188629130706;53466;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;416006;0;0;1635;0;BPRED
188629184193;53305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;413869;0;0;960;0;BPRED
188629237509;53563;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;416018;0;0;1561;0;BPRED
188629291083;53528;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;416043;0;0;1651;0;BPRED
188629344618;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;413833;0;0;865;0;BPRED
188629398029;53468;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;416089;0;0;1624;0;BPRED
188629451506;53686;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;417322;0;0;2096;0;BPRED
188629505203;94213;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;6;0;0;732255;0;0;2354;0;BPRED
188630035774;1165218;"MAF";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;9073809;0;0;29746;0;BPRED
188630035796;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;414;0;0;151;0;BPRED
188630035909;248;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;1192;0;0;234;0;BPRED
188630036165;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;180;0;0;50;0;BPRED
188630036209;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;1631;0;0;122;0;BPRED
188630036529;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;191;0;0;51;0;BPRED
188630036577;53851;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;416789;0;0;2185;0;BPRED
188630090442;53358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;414681;0;0;1192;0;BPRED
188630143809;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;413795;0;0;876;0;BPRED
188630197039;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;416831;0;0;1493;0;BPRED
188630250440;53189;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;414627;0;0;1111;0;BPRED
188630303636;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;414590;0;0;1073;0;BPRED
188630356915;53213;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;414681;0;0;1173;0;BPRED
188630410135;53214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;414964;0;0;1150;0;BPRED
188630463358;53148;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;413814;0;0;819;0;BPRED
188630516513;53201;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;414690;0;0;1131;0;BPRED
188630569722;53282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;415953;0;0;1516;0;BPRED
188630623011;53068;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;412494;0;0;452;0;BPRED
188630676099;53328;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;416057;0;0;1610;0;BPRED
188630729434;53339;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;415934;0;0;1574;0;BPRED
188630782781;53190;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;413859;0;0;935;0;BPRED
188630835980;53450;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;416097;0;0;1656;0;BPRED
188630889439;53440;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;416001;0;0;1611;0;BPRED
188630942888;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;413817;0;0;889;0;BPRED
188630996170;53409;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;415973;0;0;1608;0;BPRED
188631049587;53370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;415960;0;0;1598;0;BPRED
188631102969;98014;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d23;7;0;0;763257;0;0;2605;0;BPRED
