TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
729351235796;359057;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;0;41205630;16395719;9247272;23453345;24144316;9424;0;BPRED
729351236055;54;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;806;666;444;1151;0;132;0;BPRED
729351236113;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;2776;1503;1080;2953;1200;160;0;BPRED
729351236213;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;0;349;306;199;605;17;21;0;BPRED
729351236240;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;0;9648;2610;1767;8412;4130;85;0;BPRED
729351236357;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;0;359;290;215;625;0;35;0;BPRED
729351236385;16723;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1939157;769891;429824;1092633;1133101;70;0;BPRED
729351253112;16927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1946189;773216;433129;1102746;1134000;1057;0;BPRED
729351270043;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1939445;769922;429777;1092189;1133348;17;0;BPRED
729351286747;17129;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1952882;777674;439927;1116836;1133852;912;0;BPRED
729351303882;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1942911;771847;432369;1099720;1133376;610;0;BPRED
729351320713;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1937625;769363;429731;1091784;1132508;25;0;BPRED
729351337405;17027;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1948015;775425;439073;1113858;1131788;783;0;BPRED
729351354436;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1938771;769524;429732;1091632;1133229;27;0;BPRED
729351371129;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1942282;771483;431932;1098310;1133411;697;0;BPRED
729351387984;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1937755;769502;429749;1091816;1132449;23;0;BPRED
729351404678;16849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1942932;772153;432995;1101446;1132570;662;0;BPRED
729351421531;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1939181;769899;429787;1092072;1133361;27;0;BPRED
729351438235;16800;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1940227;770669;431971;1097763;1132093;557;0;BPRED
729351455039;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1939707;769862;429791;1091866;1133693;24;0;BPRED
729351471741;16874;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1942630;771993;433144;1101675;1132306;746;0;BPRED
729351488619;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1940368;770170;429871;1092071;1134158;28;0;BPRED
729351505324;16866;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1942083;771751;432915;1100753;1132277;675;0;BPRED
729351522195;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1935750;768714;429645;1091220;1131405;19;0;BPRED
729351538880;16821;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1945073;772328;432341;1099933;1134453;525;0;BPRED
729351555705;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;1937799;769460;429754;1091758;1132519;14;0;BPRED
729351572403;22445;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003dd7;0;2348341;956830;597538;1462314;1479072;903;0;BPRED
729352835768;358666;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;1;41245637;16409982;9245873;23446522;24186478;6558;0;BPRED
729352835794;87;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;820;674;452;1172;0;129;0;BPRED
729352835887;101;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;2620;1425;1056;2813;1154;156;0;BPRED
729352835993;26;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;1;346;302;200;611;17;24;0;BPRED
729352836025;110;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;1;9190;2479;1712;8069;3983;80;0;BPRED
729352836141;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;1;348;288;213;596;0;31;0;BPRED
729352836172;16783;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1938587;770252;429816;1092473;1132742;69;0;BPRED
729352852959;16918;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1945267;772824;432758;1102483;1133640;844;0;BPRED
729352869881;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1942256;770591;429860;1092455;1135276;19;0;BPRED
729352886593;16801;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1943935;771954;432274;1099437;1133738;538;0;BPRED
729352903399;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1940110;769947;429807;1091834;1133897;14;0;BPRED
729352920099;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1940185;771027;432070;1098727;1131721;499;0;BPRED
729352936889;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1941340;771372;432185;1098828;1132220;478;0;BPRED
729352953681;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1936170;768770;429586;1091036;1131636;21;0;BPRED
729352970363;16783;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1940084;770948;432049;1098402;1131782;469;0;BPRED
729352987150;16675;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1935251;768581;429520;1090824;1131199;21;0;BPRED
729353003829;16768;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1936903;770121;431974;1097664;1129804;477;0;BPRED
729353020601;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1937117;769207;429616;1091314;1132204;19;0;BPRED
729353037290;16789;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1941221;771371;432209;1098523;1132325;476;0;BPRED
729353054083;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1937148;769161;429658;1091252;1132264;19;0;BPRED
729353070772;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1941277;771210;432186;1098503;1132465;473;0;BPRED
729353087566;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1937780;769525;429677;1091529;1132679;20;0;BPRED
729353104261;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1940466;770943;432150;1098146;1131964;468;0;BPRED
729353121046;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1939328;769846;429765;1091727;1133565;19;0;BPRED
729353137745;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1942369;771577;432151;1098733;1133008;484;0;BPRED
729353154544;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;1937988;769441;429689;1091662;1132610;15;0;BPRED
729353171257;23172;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003dd7;1;2427890;988952;617170;1508248;1530585;520;0;BPRED
729354435824;359525;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;2;41290020;16432119;9267243;23498718;24213512;7659;0;BPRED
729354435857;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;851;675;455;1250;0;140;0;BPRED
729354435950;112;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;3896;1882;1275;3191;1847;166;0;BPRED
729354436067;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;2;346;303;199;606;17;22;0;BPRED
729354436093;98;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;2;8975;2426;1704;7775;3940;84;0;BPRED
729354436196;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;2;369;293;217;614;0;30;0;BPRED
729354436229;16767;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1937145;769656;429663;1092460;1131573;69;0;BPRED
729354453000;17027;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1945069;773278;434067;1106746;1131945;1236;0;BPRED
729354470032;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1935738;769039;429600;1091704;1131072;17;0;BPRED
729354486736;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1937951;770403;432037;1098694;1130010;599;0;BPRED
729354503528;16675;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1934825;768373;429529;1091120;1130757;13;0;BPRED
729354520207;16785;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1939891;770908;432094;1098654;1131337;498;0;BPRED
729354536996;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1940770;771090;431933;1098697;1132126;488;0;BPRED
729354553787;16668;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1934411;768161;429491;1090527;1130551;20;0;BPRED
729354570459;16771;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1937517;770166;431950;1097823;1130183;489;0;BPRED
729354587234;16659;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1932745;767675;429411;1090319;1129666;21;0;BPRED
729354603897;16769;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1937881;770128;431944;1097761;1130499;483;0;BPRED
729354620671;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1936527;768770;429569;1090886;1131983;21;0;BPRED
729354637351;16789;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1941892;771404;432037;1098536;1133040;481;0;BPRED
729354654144;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1937610;769145;429583;1091283;1132649;21;0;BPRED
729354670831;16777;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1939874;770869;431986;1098117;1131626;482;0;BPRED
729354687613;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1935105;768592;429521;1090914;1130944;20;0;BPRED
729354704291;16770;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1937838;770057;431869;1097608;1130492;485;0;BPRED
729354721066;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1935947;768719;429590;1090986;1131475;20;0;BPRED
729354737748;16992;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1942691;771620;432116;1099022;1133165;664;0;BPRED
729354754744;16667;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;1933766;768063;429503;1090685;1130025;15;0;BPRED
729354771433;23912;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003dd7;2;2509824;1022847;639299;1561630;1582590;576;0;BPRED
729356035796;360407;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;3;41425690;16479308;9292328;23563586;24299226;7341;0;BPRED
729356035825;93;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;825;662;459;1203;0;134;0;BPRED
729356035922;107;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;3881;1890;1263;3164;1858;169;0;BPRED
729356036033;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;3;345;299;197;593;17;22;0;BPRED
729356036062;105;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;3;8976;2450;1712;7804;3869;75;0;BPRED
729356036173;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;3;368;293;216;616;0;28;0;BPRED
729356036203;16778;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1939695;770363;429793;1092856;1133282;67;0;BPRED
729356052985;17010;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1945977;773091;433885;1105542;1133489;1155;0;BPRED
729356070001;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1940155;769768;429745;1092066;1134015;18;0;BPRED
729356086699;16841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1942589;771517;432116;1099357;1133074;647;0;BPRED
729356103545;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1936884;768931;429570;1091389;1132205;14;0;BPRED
729356120227;16875;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1944088;772518;433224;1102411;1132805;612;0;BPRED
729356137106;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1941716;771318;432166;1099153;1132530;520;0;BPRED
729356153904;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1939020;769556;429745;1091689;1133357;20;0;BPRED
729356170596;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1942303;771498;432200;1099235;1132806;506;0;BPRED
729356187393;16670;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1936221;768479;429594;1090847;1131793;20;0;BPRED
729356204067;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1939585;770360;432022;1098135;1131374;498;0;BPRED
729356220843;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1938239;769175;429637;1091379;1133022;20;0;BPRED
729356237526;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1941791;771317;432100;1098685;1132892;493;0;BPRED
729356254317;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1937393;769004;429645;1091366;1132498;20;0;BPRED
729356271002;16784;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1941760;771266;432096;1098631;1133001;482;0;BPRED
729356287790;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1938618;769211;429659;1091557;1133150;19;0;BPRED
729356304478;16779;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1941163;770966;432040;1098467;1132558;492;0;BPRED
729356321262;16673;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1936590;768658;429604;1091032;1131916;18;0;BPRED
729356337939;16789;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1942042;771391;432120;1098879;1132918;485;0;BPRED
729356354732;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;1937449;769291;429682;1091779;1132244;13;0;BPRED
729356371439;24759;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003dd7;3;2598345;1058916;661792;1616389;1638553;576;0;BPRED
729357635776;360857;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;4;41432379;16497129;9313053;23608897;24301793;6795;0;BPRED
729357635798;78;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;767;632;449;1099;0;135;0;BPRED
729357635880;109;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;3667;1799;1239;3077;1750;167;0;BPRED
729357635994;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;4;341;298;199;599;17;24;0;BPRED
729357636024;98;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;4;9136;2498;1708;7888;3971;70;0;BPRED
729357636126;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;4;369;293;217;616;0;28;0;BPRED
729357636157;16765;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1936167;769673;429806;1092652;1130680;62;0;BPRED
729357652927;16840;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1938095;770493;432581;1101376;1129342;802;0;BPRED
729357669771;16669;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1933220;768183;429544;1091305;1129410;17;0;BPRED
729357686444;16802;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1938099;770455;431845;1098779;1130048;561;0;BPRED
729357703251;16660;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1932255;767727;429450;1090631;1129096;12;0;BPRED
729357719915;16770;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1936730;770111;431940;1098187;1129398;502;0;BPRED
729357736689;16787;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1937914;770262;431910;1098083;1130311;480;0;BPRED
729357753480;16673;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1934660;768456;429556;1091258;1130445;18;0;BPRED
729357770157;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1937751;770772;432822;1100688;1129159;581;0;BPRED
729357786986;16669;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1934265;768345;429441;1091155;1130294;22;0;BPRED
729357803659;16774;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1939110;770611;431957;1098295;1130960;506;0;BPRED
729357820437;16666;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1933552;768111;429455;1090973;1129728;22;0;BPRED
729357837107;16789;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1938065;770493;431886;1098023;1130386;482;0;BPRED
729357853900;16654;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1930979;767290;429341;1090351;1128347;18;0;BPRED
729357870558;16779;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1936728;769779;431798;1097564;1129709;480;0;BPRED
729357887342;16667;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1934046;768227;429497;1090892;1130076;18;0;BPRED
729357904013;16773;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1938301;770531;431996;1098162;1130555;490;0;BPRED
729357920790;16658;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1932365;767726;429408;1090520;1129052;21;0;BPRED
729357937453;16764;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1936772;769897;431831;1097635;1129437;497;0;BPRED
729357954222;16658;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;1932373;767653;429425;1090510;1129099;13;0;BPRED
729357970901;25727;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003dd7;4;2696966;1099676;687691;1679117;1700523;562;0;BPRED
729359235777;362193;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;5;41609858;16557666;9341880;23679092;24416919;7170;0;BPRED
729359235797;75;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;778;648;448;1091;0;126;0;BPRED
729359235876;106;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;3875;1884;1248;3135;1867;160;0;BPRED
729359235986;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;5;347;302;199;604;17;23;0;BPRED
729359236011;95;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;5;9064;2466;1709;7822;3970;71;0;BPRED
729359236111;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;5;364;291;213;606;0;26;0;BPRED
729359236141;16750;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1938666;770115;429741;1092719;1132482;61;0;BPRED
729359252895;17072;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1943946;772134;432842;1101804;1133125;932;0;BPRED
729359269972;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1940157;769901;429749;1092210;1133899;17;0;BPRED
729359286669;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1942456;771603;432119;1098899;1132989;532;0;BPRED
729359303470;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1937806;769097;429646;1091364;1132620;12;0;BPRED
729359320152;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1943427;771942;432172;1098993;1133540;510;0;BPRED
729359336950;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1938832;770495;431939;1098021;1131020;475;0;BPRED
729359353726;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1940038;769755;429619;1091544;1134114;21;0;BPRED
729359370417;16773;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1940929;770792;431965;1097915;1132405;486;0;BPRED
729359387194;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1938068;769465;429582;1091479;1132898;20;0;BPRED
729359403879;16801;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1940586;770768;431807;1097792;1132365;450;0;BPRED
729359420684;16665;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1935569;768460;429491;1090707;1131431;19;0;BPRED
729359437353;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1943355;772038;432945;1100902;1133005;584;0;BPRED
729359454214;16675;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1936987;768939;429628;1091151;1132030;22;0;BPRED
729359470893;16776;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1939561;770709;432036;1098216;1131520;502;0;BPRED
729359487673;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1937805;769304;429603;1091467;1132605;20;0;BPRED
729359504359;16785;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1941789;771373;432075;1098497;1132903;499;0;BPRED
729359521149;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1938010;769464;429647;1091511;1132705;15;0;BPRED
729359537835;16778;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1940286;770902;432048;1098186;1131796;503;0;BPRED
729359554618;16675;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;1936510;768839;429654;1091113;1131770;14;0;BPRED
729359571315;26651;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003dd7;5;2790118;1138439;713124;1740348;1759843;578;0;BPRED
729360835769;362798;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;6;41652613;16581921;9370257;23734280;24446932;6665;0;BPRED
729360835789;72;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;775;646;451;1118;0;128;0;BPRED
729360835866;105;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;3741;1831;1250;3128;1786;165;0;BPRED
729360835976;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;6;343;298;199;600;17;23;0;BPRED
729360836003;96;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;6;9167;2514;1736;7886;3980;69;0;BPRED
729360836103;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;6;365;291;215;607;0;27;0;BPRED
729360836134;16752;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1938365;770108;429815;1092730;1132264;61;0;BPRED
729360852891;16884;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1940723;771010;433852;1101472;1131170;754;0;BPRED
729360869779;16667;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1933652;768109;429596;1090984;1130078;14;0;BPRED
729360886450;16769;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1937740;770123;431985;1097861;1130275;539;0;BPRED
729360903223;16659;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1932999;767772;429418;1090341;1129841;12;0;BPRED
729360919886;16787;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1939103;770627;431988;1098082;1131261;500;0;BPRED
729360936678;16769;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1938323;770133;432028;1097755;1130717;482;0;BPRED
729360953451;16669;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1935214;768414;429498;1090932;1131037;20;0;BPRED
729360970124;16763;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1937062;769880;431936;1097420;1129958;476;0;BPRED
729360986892;16669;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1935013;768389;429518;1090889;1130964;20;0;BPRED
729361003565;16770;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1939012;770462;431961;1097700;1131197;484;0;BPRED
729361020339;16646;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1930633;767070;429293;1089746;1128412;20;0;BPRED
729361036989;16760;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1937011;769882;431853;1097284;1129983;488;0;BPRED
729361053753;16663;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1934324;768074;429526;1090442;1130558;22;0;BPRED
729361070421;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1938038;769809;432671;1097433;1130525;452;0;BPRED
729361087215;16660;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1933479;767865;429482;1090286;1130116;19;0;BPRED
729361103879;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1940664;771352;432783;1100468;1131267;574;0;BPRED
729361120720;16671;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1935166;768474;429520;1090852;1131172;21;0;BPRED
729361137396;16768;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1938215;770098;431951;1097904;1130569;498;0;BPRED
729361154169;16659;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;1933020;767709;429436;1090285;1129852;13;0;BPRED
729361170849;27713;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003dd7;6;2900757;1183878;742253;1810680;1829933;566;0;BPRED
729362435811;364362;"MAF";"INTERVAL";"PROBE";4;63;0x00003dd7;7;41784892;16636601;9399265;23819072;24530275;7532;0;BPRED
729362435846;82;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;7;850;666;457;1254;0;140;0;BPRED
729362435933;114;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003dd7;7;3985;1926;1284;3258;1874;166;0;BPRED
729362436051;28;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003dd7;7;346;303;199;606;17;21;0;BPRED
729362436085;100;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003dd7;7;8978;2449;1701;7715;3901;78;0;BPRED
729362436190;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003dd7;7;368;294;216;615;0;32;0;BPRED
729362436222;16773;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;7;1938107;769914;429782;1092623;1132283;68;0;BPRED
729362453000;16935;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003dd7;7;1941723;771511;433069;1103489;1131370;1047;0;BPRED
