TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
1475734467448;366541;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;0;51644243;16816;8358;110867;1909;599;0;BPRED
1475734467654;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;0;1545;36;11;422;117;56;0;BPRED
1475734467713;99;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;0;4190;21;0;435;178;65;0;BPRED
1475734467817;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;0;757;11;1;78;29;12;0;BPRED
1475734467842;119;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;0;10661;24;3;226;79;24;0;BPRED
1475734467965;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;0;708;11;3;108;29;11;0;BPRED
1475734467992;16846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2402724;148;232;2792;472;148;0;BPRED
1475734484842;17095;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2411905;498;218;4859;439;146;0;BPRED
1475734501952;16809;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2400951;142;56;1959;1;1;0;BPRED
1475734518765;17268;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2427172;924;422;6155;240;62;0;BPRED
1475734536037;17262;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2431845;1065;496;6484;33;5;0;BPRED
1475734553303;17178;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2424962;740;416;4783;26;3;0;BPRED
1475734570486;17233;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2430376;1037;474;6226;11;3;0;BPRED
1475734587724;17133;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2421928;748;415;4722;0;0;0;BPRED
1475734604862;17330;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2429330;980;481;6316;33;4;0;BPRED
1475734622197;17163;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2424367;811;414;4948;18;1;0;BPRED
1475734639365;17247;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2426896;928;478;6017;47;1;0;BPRED
1475734656616;17136;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2422287;789;404;4809;0;0;0;BPRED
1475734673756;17216;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2429103;932;481;5872;0;1;0;BPRED
1475734690977;17123;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2424426;783;402;4799;0;1;0;BPRED
1475734708104;17204;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2429242;924;470;5806;0;1;0;BPRED
1475734725312;17116;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2424881;750;393;4787;4;2;0;BPRED
1475734742432;17368;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2440480;1189;538;7129;2;2;0;BPRED
1475734759804;17204;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2429930;894;442;5713;0;0;0;BPRED
1475734777013;17114;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2423578;772;417;4771;0;0;0;BPRED
1475734794132;17192;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;0;2429118;941;463;5870;1;1;0;BPRED
1475734811329;22655;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006eae;0;3121017;361;173;2749;89;33;0;BPRED
1475736067404;368264;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;1;51799644;19095;9607;120709;2348;1256;0;BPRED
1475736067433;94;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;1;1602;42;26;478;228;111;0;BPRED
1475736067532;99;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;1;4173;27;11;466;192;90;0;BPRED
1475736067636;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;1;766;11;5;77;35;26;0;BPRED
1475736067664;120;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;1;10491;26;7;256;97;66;0;BPRED
1475736067788;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;1;721;11;4;108;44;26;0;BPRED
1475736067821;17282;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2427247;809;500;6466;1044;616;0;BPRED
1475736085108;17434;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2434345;1143;562;7835;374;192;0;BPRED
1475736102547;17130;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2425417;813;410;4913;1;3;0;BPRED
1475736119681;17289;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2431716;1065;538;6626;80;45;0;BPRED
1475736136975;17276;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2430278;1033;494;6510;13;4;0;BPRED
1475736154256;17140;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2421686;810;425;4966;0;0;0;BPRED
1475736171400;17221;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2427261;938;471;5917;3;0;0;BPRED
1475736188626;17145;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2422336;818;422;4871;2;3;0;BPRED
1475736205776;17250;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2427643;941;487;5966;29;6;0;BPRED
1475736223031;17135;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2422223;811;416;4852;0;0;0;BPRED
1475736240170;17213;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2426827;936;477;5897;9;0;0;BPRED
1475736257388;17124;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2423634;807;412;4871;0;0;0;BPRED
1475736274516;17287;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2428051;984;487;5971;22;1;0;BPRED
1475736291808;17130;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2422086;802;411;4825;0;1;0;BPRED
1475736308942;17241;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2427924;968;478;6023;23;7;0;BPRED
1475736326187;17122;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2421798;790;408;4827;0;1;0;BPRED
1475736343314;17218;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2427847;980;493;5905;0;0;0;BPRED
1475736360536;17208;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2426385;1007;464;6098;0;0;0;BPRED
1475736377749;17117;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2422722;767;434;4747;0;1;0;BPRED
1475736394870;17224;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;1;2430194;979;464;6002;3;1;0;BPRED
1475736412118;23546;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006eae;1;3235415;492;208;3677;89;40;0;BPRED
1475737667424;369075;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;2;51889379;19160;9614;120590;2552;1293;0;BPRED
1475737667452;93;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;2;1609;41;18;457;221;116;0;BPRED
1475737667550;112;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;2;5425;26;12;491;201;95;0;BPRED
1475737667667;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;2;755;11;7;72;35;25;0;BPRED
1475737667693;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;2;10456;23;9;215;92;56;0;BPRED
1475737667805;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;2;720;9;5;136;63;41;0;BPRED
1475737667835;17274;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2423037;766;562;6422;1070;592;0;BPRED
1475737685113;17328;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2428615;983;485;6797;97;44;0;BPRED
1475737702446;17132;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2419980;811;414;4853;0;0;0;BPRED
1475737719583;17281;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2426063;982;501;6152;24;7;0;BPRED
1475737736869;17231;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2426186;1071;471;6198;8;1;0;BPRED
1475737754104;17125;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2419747;761;441;4721;0;0;0;BPRED
1475737771233;17281;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2428655;1094;515;6552;62;31;0;BPRED
1475737788519;17126;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2423937;788;445;4836;0;1;0;BPRED
1475737805649;17210;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2428799;970;486;6008;0;1;0;BPRED
1475737822863;17123;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2423494;814;417;4855;0;0;0;BPRED
1475737839991;17218;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2429847;961;481;5909;2;0;0;BPRED
1475737857214;17126;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2420770;824;411;4866;2;1;0;BPRED
1475737874344;17254;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2428107;969;500;5951;14;1;0;BPRED
1475737891603;17130;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2421620;816;408;4849;0;1;0;BPRED
1475737908738;17218;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2426577;995;490;5930;10;1;0;BPRED
1475737925961;17121;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2420400;809;412;4865;0;1;0;BPRED
1475737943086;17258;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2427664;959;477;5958;24;2;0;BPRED
1475737960349;17222;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2428905;1065;470;6252;10;1;0;BPRED
1475737977575;17314;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2421897;721;441;4991;4;1;0;BPRED
1475737994900;17216;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;2;2426904;1025;477;6166;0;1;0;BPRED
1475738012138;24356;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006eae;2;3349276;516;211;3680;95;41;0;BPRED
1475739267398;369924;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;3;52053384;19149;9667;120396;2359;1139;0;BPRED
1475739267424;100;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;3;1606;41;24;468;228;114;0;BPRED
1475739267528;115;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;3;5547;30;13;507;194;86;0;BPRED
1475739267648;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;3;768;11;5;76;35;17;0;BPRED
1475739267673;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;3;10531;24;7;222;89;51;0;BPRED
1475739267786;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;3;718;11;4;109;45;27;0;BPRED
1475739267818;17250;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2424593;714;535;6279;1039;573;0;BPRED
1475739285073;17586;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2447135;1374;619;8878;299;153;0;BPRED
1475739302664;17124;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2425040;774;395;4790;0;0;0;BPRED
1475739319792;17207;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2429384;951;487;6016;1;0;0;BPRED
1475739337003;17213;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2430628;941;456;5916;12;6;0;BPRED
1475739354220;17106;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2423779;788;422;4796;0;1;0;BPRED
1475739371331;17260;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2429828;966;475;5957;24;2;0;BPRED
1475739388596;17118;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2423875;812;415;4813;0;1;0;BPRED
1475739405718;17232;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2429650;984;481;5974;18;1;0;BPRED
1475739422954;17113;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2421691;811;412;4825;0;1;0;BPRED
1475739440072;17298;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2430756;1067;533;6490;92;29;0;BPRED
1475739457374;17124;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2424374;817;416;4834;0;0;0;BPRED
1475739474503;17223;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2430573;951;485;5858;3;1;0;BPRED
1475739491730;17113;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2420908;808;412;4845;0;1;0;BPRED
1475739508847;17229;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2429751;951;478;5876;0;0;0;BPRED
1475739526080;17110;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2421482;815;415;4832;0;0;0;BPRED
1475739543195;17282;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2427498;980;478;6016;73;18;0;BPRED
1475739560481;17253;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2429372;987;463;6046;35;10;0;BPRED
1475739577739;17114;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2421659;785;420;4806;3;1;0;BPRED
1475739594858;17220;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;3;2426360;986;479;5985;21;0;0;BPRED
1475739612100;25217;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006eae;3;3466983;482;223;3612;96;31;0;BPRED
1475740867394;370450;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;4;52122024;18835;9511;118230;2018;1037;0;BPRED
1475740867419;85;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;4;1556;41;18;439;199;79;0;BPRED
1475740867508;107;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;4;5368;25;12;474;178;87;0;BPRED
1475740867620;26;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;4;752;11;8;74;35;22;0;BPRED
1475740867650;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;4;10466;23;11;195;83;55;0;BPRED
1475740867763;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;4;694;11;4;91;36;21;0;BPRED
1475740867794;17314;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2422084;812;540;6331;1037;576;0;BPRED
1475740885113;17307;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2427408;1029;492;6681;164;91;0;BPRED
1475740902425;17104;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2419811;810;414;4825;1;0;0;BPRED
1475740919533;17258;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2429035;993;499;6129;22;13;0;BPRED
1475740936795;17221;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2428127;1008;467;6084;3;3;0;BPRED
1475740954020;17106;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2421193;786;434;4807;6;1;0;BPRED
1475740971131;17210;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2428254;969;477;6027;11;4;0;BPRED
1475740988346;17105;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2421014;785;420;4835;0;1;0;BPRED
1475741005456;17193;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2425861;935;468;5862;0;0;0;BPRED
1475741022653;17114;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2422309;795;405;4802;0;1;0;BPRED
1475741039772;17255;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2426840;961;488;5888;21;1;0;BPRED
1475741057032;17113;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2421699;793;398;4791;0;0;0;BPRED
1475741074150;17227;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2428059;938;463;5884;15;0;0;BPRED
1475741091381;17115;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2421519;791;398;4849;7;4;0;BPRED
1475741108500;17285;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2428810;1009;526;6267;32;21;0;BPRED
1475741125790;17103;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2419208;786;403;4769;0;0;0;BPRED
1475741142898;17228;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2424088;956;503;6016;14;5;0;BPRED
1475741160131;17206;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2424129;1025;463;6097;0;0;0;BPRED
1475741177341;17118;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2419567;735;445;4715;0;0;0;BPRED
1475741194464;17199;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;4;2425307;998;480;6040;1;1;0;BPRED
1475741211668;26171;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006eae;4;3600091;505;207;3677;101;36;0;BPRED
1475742467378;372092;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;5;52368050;18841;9593;120113;2398;1283;0;BPRED
1475742467403;77;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;5;1541;44;28;455;192;92;0;BPRED
1475742467484;111;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;5;5374;28;13;472;161;71;0;BPRED
1475742467599;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;5;758;11;8;73;36;23;0;BPRED
1475742467627;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;5;10460;23;9;198;83;51;0;BPRED
1475742467739;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;5;702;11;5;101;40;27;0;BPRED
1475742467768;17289;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2424768;736;551;6301;1003;591;0;BPRED
1475742485062;17538;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2432664;977;495;6732;153;90;0;BPRED
1475742502605;17151;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2427013;817;409;4861;4;1;0;BPRED
1475742519761;17275;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2432706;980;495;6433;32;15;0;BPRED
1475742537040;17231;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2430731;1038;465;6215;0;1;0;BPRED
1475742554276;17128;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2424765;734;432;4667;0;0;0;BPRED
1475742571408;17255;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2432682;1012;498;6158;7;4;0;BPRED
1475742588667;17140;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2425508;735;402;4692;1;2;0;BPRED
1475742605811;17228;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2431194;976;484;5997;2;2;0;BPRED
1475742623044;17129;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2426666;749;401;4729;0;1;0;BPRED
1475742640178;17366;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2441967;1160;531;7025;1;1;0;BPRED
1475742657549;17147;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2424898;752;392;4680;0;0;0;BPRED
1475742674700;17231;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2429807;933;471;5870;5;2;0;BPRED
1475742691936;17130;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2425861;770;402;4736;0;0;0;BPRED
1475742709070;17276;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2432785;958;493;5916;22;0;0;BPRED
1475742726350;17122;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2426732;788;400;4793;0;1;0;BPRED
1475742743476;17230;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2432581;968;482;5961;15;1;0;BPRED
1475742760711;17269;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2435943;1013;488;6318;44;26;0;BPRED
1475742777984;17136;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2427238;817;446;4814;0;0;0;BPRED
1475742795124;17217;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;5;2431802;981;474;5916;1;2;0;BPRED
1475742812363;27102;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006eae;5;3730899;471;226;3566;88;28;0;BPRED
1475744067367;372029;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;6;52375398;18890;9533;117357;1833;993;0;BPRED
1475744067389;76;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;6;1572;44;24;432;167;78;0;BPRED
1475744067469;110;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;6;5410;26;13;451;149;75;0;BPRED
1475744067583;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;6;755;11;8;78;37;17;0;BPRED
1475744067610;103;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;6;10393;23;10;195;74;55;0;BPRED
1475744067717;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;6;712;12;6;97;36;27;0;BPRED
1475744067747;17246;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2420426;822;529;6398;973;562;0;BPRED
1475744084998;17315;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2426235;983;491;6528;178;96;0;BPRED
1475744102318;17097;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2418450;814;409;4837;1;0;0;BPRED
1475744119419;17254;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2427203;1037;507;6506;41;11;0;BPRED
1475744136678;17186;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2424452;1004;473;6006;3;4;0;BPRED
1475744153868;17101;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2419157;797;421;4782;0;0;0;BPRED
1475744170974;17191;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2424842;967;477;5897;5;2;0;BPRED
1475744188170;17104;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2418461;813;419;4837;0;1;0;BPRED
1475744205279;17174;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2422186;946;484;5865;0;0;0;BPRED
1475744222458;17112;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2419714;815;420;4841;0;1;0;BPRED
1475744239575;17201;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2422497;924;458;5704;5;5;0;BPRED
1475744256780;17129;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2418691;796;415;4844;1;1;0;BPRED
1475744273913;17184;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2425037;950;474;5837;1;2;0;BPRED
1475744291102;17084;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2419968;814;417;4791;0;1;0;BPRED
1475744308191;17189;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2426561;959;483;5892;0;1;0;BPRED
1475744325384;17103;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2420472;805;412;4803;0;0;0;BPRED
1475744342491;17188;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2427268;976;488;5858;0;0;0;BPRED
1475744359683;17199;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2426841;994;476;6014;8;1;0;BPRED
1475744376887;17128;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2422329;794;442;4795;17;0;0;BPRED
1475744394019;17188;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;6;2426744;1005;465;6000;6;1;0;BPRED
1475744411211;28181;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006eae;6;3880227;471;214;3547;87;39;0;BPRED
1475745667370;374169;"MAF";"INTERVAL";"PROBE";4;63;0x00006eae;7;52612660;19094;9638;120441;2379;1203;0;BPRED
1475745667394;79;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006eae;7;1511;40;25;432;176;98;0;BPRED
1475745667477;105;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006eae;7;5411;28;16;452;154;72;0;BPRED
1475745667586;26;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006eae;7;752;11;8;71;36;24;0;BPRED
1475745667617;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006eae;7;10486;24;9;191;80;51;0;BPRED
1475745667730;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006eae;7;702;11;6;105;41;30;0;BPRED
1475745667760;17264;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2425283;758;561;6239;989;544;0;BPRED
1475745685029;17259;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2428872;943;473;6247;138;85;0;BPRED
1475745702293;17147;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2421479;812;410;4859;17;0;0;BPRED
1475745719445;17240;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2430048;979;492;5945;32;8;0;BPRED
1475745736690;17261;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2428763;1028;472;6038;33;17;0;BPRED
1475745753956;17148;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2421891;756;422;4737;16;1;0;BPRED
1475745771109;17275;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2429571;1076;494;6494;59;10;0;BPRED
1475745788389;17133;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2421927;769;433;4761;6;5;0;BPRED
1475745805526;17220;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2427811;981;486;5943;0;1;0;BPRED
1475745822751;17128;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2421620;805;419;4783;0;1;0;BPRED
1475745839883;17231;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2429762;952;481;5853;1;0;0;BPRED
1475745857118;17364;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2423241;817;417;5155;17;10;0;BPRED
1475745874487;17204;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2428831;964;484;5883;6;1;0;BPRED
1475745891696;17125;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006eae;7;2423966;802;410;4814;0;0;0;BPRED
