TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
198049543223;358938;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;0;1657;127;51105442;39678842;12093;51105503;0;NOSTRESS
198049543478;54;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;0;1;10;1541;1416;516;1539;0;NOSTRESS
198049543536;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;0;3;6;4208;4182;804;4200;0;NOSTRESS
198049543632;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;0;0;2;761;640;168;753;0;NOSTRESS
198049543655;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;0;2;1;10644;9281;444;10636;0;NOSTRESS
198049543772;19;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;0;0;0;704;666;100;696;0;NOSTRESS
198049543795;17067;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;148;37;2403975;1881046;5292;2403967;0;NOSTRESS
198049560867;16724;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;6;0;2394698;1868465;4;2394700;0;NOSTRESS
198049577604;16889;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;137;2;2402162;1875623;392;2402163;0;NOSTRESS
198049594497;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;6;1;2395116;1864763;16;2395118;0;NOSTRESS
198049611209;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;125;5;2402905;1874138;176;2402905;0;NOSTRESS
198049628060;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;5;1;2395735;1865951;4;2395735;0;NOSTRESS
198049644778;16864;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;137;3;2403514;1875065;208;2403515;0;NOSTRESS
198049661647;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;4;1;2394533;1862847;8;2394535;0;NOSTRESS
198049678346;16927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;127;4;2402318;1872068;292;2402328;0;NOSTRESS
198049695277;16835;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;117;2;2401651;1871798;180;2401654;0;NOSTRESS
198049712117;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;4;1;2394511;1863999;4;2394511;0;NOSTRESS
198049728819;16845;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;125;4;2401334;1872918;160;2401335;0;NOSTRESS
198049745669;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;5;1;2393768;1864670;8;2393770;0;NOSTRESS
198049762375;16840;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;113;6;2400185;1874037;146;2400186;0;NOSTRESS
198049779219;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;4;0;2393332;1862081;4;2393334;0;NOSTRESS
198049795915;16816;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;122;4;2401265;1870873;308;2401266;0;NOSTRESS
198049812735;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;5;1;2394861;1867002;8;2394862;0;NOSTRESS
198049829452;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;137;7;2400800;1869970;1016;2400800;0;NOSTRESS
198049846307;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;5;1;2394361;1865605;4;2394366;0;NOSTRESS
198049863019;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;0;135;6;2400618;1872946;196;2400615;0;NOSTRESS
198049879884;22273;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001636;0;2;3;3092247;2244084;652;3092238;0;NOSTRESS
198051143217;358837;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;1;1334;153;51204439;39710428;12792;51204433;0;NOSTRESS
198051143244;86;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;1;2;14;1590;1489;1344;1589;0;NOSTRESS
198051143334;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;1;2;5;4042;3491;1036;4034;0;NOSTRESS
198051143435;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;1;0;3;751;609;296;743;0;NOSTRESS
198051143462;117;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;1;2;1;10548;8581;712;10541;0;NOSTRESS
198051143583;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;1;0;1;714;654;236;706;0;NOSTRESS
198051143613;16950;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;131;22;2402982;1874578;7404;2402974;0;NOSTRESS
198051160567;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;6;2;2394137;1861924;8;2394139;0;NOSTRESS
198051177260;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;111;10;2400892;1870490;104;2400893;0;NOSTRESS
198051194090;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;6;2;2394230;1865219;8;2394232;0;NOSTRESS
198051210797;16818;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;112;7;2399710;1869873;420;2399713;0;NOSTRESS
198051227620;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;4;1;2394302;1865944;8;2394304;0;NOSTRESS
198051244327;16807;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;106;4;2400716;1871651;172;2400717;0;NOSTRESS
198051261138;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;6;2;2395393;1867039;4;2395393;0;NOSTRESS
198051277852;16823;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;107;7;2401007;1873113;8;2401008;0;NOSTRESS
198051294679;16805;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;108;5;2400795;1871963;92;2400789;0;NOSTRESS
198051311489;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;4;2;2393755;1863272;16;2393757;0;NOSTRESS
198051328187;16798;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;108;5;2400188;1870345;16;2400189;0;NOSTRESS
198051344989;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;4;2;2395672;1864405;16;2395674;0;NOSTRESS
198051361694;16791;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;103;2;2401601;1868892;16;2401602;0;NOSTRESS
198051378489;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;4;2;2395665;1865948;8;2395665;0;NOSTRESS
198051395200;16803;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;107;5;2401025;1872345;8;2401026;0;NOSTRESS
198051412007;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;5;2;2395108;1863559;4;2395110;0;NOSTRESS
198051428706;16804;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;106;4;2402058;1869371;24;2402059;0;NOSTRESS
198051445514;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;5;2;2395000;1862787;8;2395002;0;NOSTRESS
198051462211;16805;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;1;100;2;2402628;1871532;84;2402625;0;NOSTRESS
198051479020;23030;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001636;1;2;3;3200614;2313604;568;3200607;0;NOSTRESS
198052743138;359795;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;2;1458;163;51289571;39758998;12076;51289566;0;NOSTRESS
198052743160;84;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;2;2;12;1540;1316;1148;1541;0;NOSTRESS
198052743248;102;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;2;2;5;5304;4641;664;5296;0;NOSTRESS
198052743354;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;2;0;3;748;596;256;740;0;NOSTRESS
198052743380;104;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;2;2;1;10348;7989;608;10341;0;NOSTRESS
198052743488;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;2;1;2;711;658;212;705;0;NOSTRESS
198052743519;16941;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;134;29;2401555;1873863;5576;2401548;0;NOSTRESS
198052760464;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;5;3;2394856;1865921;8;2394858;0;NOSTRESS
198052777180;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;107;4;2398286;1868338;56;2398287;0;NOSTRESS
198052793980;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;5;2;2393263;1862236;8;2393264;0;NOSTRESS
198052810679;16809;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;113;6;2399732;1869035;64;2399732;0;NOSTRESS
198052827492;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;4;1;2392401;1863156;8;2392403;0;NOSTRESS
198052844192;16842;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;113;2;2400212;1872651;40;2400213;0;NOSTRESS
198052861038;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;4;2;2392041;1859542;4;2392043;0;NOSTRESS
198052877721;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;99;2;2398157;1865333;128;2398158;0;NOSTRESS
198052894523;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;112;8;2399510;1869480;8;2399513;0;NOSTRESS
198052911321;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;4;2;2394839;1865044;4;2394841;0;NOSTRESS
198052928029;16799;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;105;2;2398227;1867420;20;2398228;0;NOSTRESS
198052944832;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;5;2;2391795;1861054;8;2391797;0;NOSTRESS
198052961522;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;110;7;2399588;1869993;60;2399589;0;NOSTRESS
198052978320;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;2;1;2393692;1863770;4;2393694;0;NOSTRESS
198052995023;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;103;6;2399281;1869702;16;2399282;0;NOSTRESS
198053011823;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;3;1;2392148;1863084;8;2392150;0;NOSTRESS
198053028524;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;96;6;2399309;1867900;4;2399310;0;NOSTRESS
198053045315;16868;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;15;2;2393581;1861770;16;2393597;0;NOSTRESS
198053062187;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;2;116;5;2399256;1868177;88;2399253;0;NOSTRESS
198053079006;23923;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001636;2;84;9;3318844;2397092;424;3318839;0;NOSTRESS
198054343122;360517;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;3;1413;163;51415612;39856029;11592;51415606;0;NOSTRESS
198054343150;87;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;3;3;13;1584;1429;1412;1583;0;NOSTRESS
198054343241;113;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;3;2;6;5336;4672;976;5328;0;NOSTRESS
198054343358;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;3;0;4;744;584;308;736;0;NOSTRESS
198054343386;117;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;3;2;3;10440;8266;632;10433;0;NOSTRESS
198054343507;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;3;0;2;712;638;216;706;0;NOSTRESS
198054343536;16947;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;122;29;2403416;1874799;6884;2403409;0;NOSTRESS
198054360487;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;5;4;2394510;1865926;4;2394518;0;NOSTRESS
198054377204;16809;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;107;9;2398947;1868453;72;2398948;0;NOSTRESS
198054394017;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;8;1;2394407;1865634;4;2394409;0;NOSTRESS
198054410725;16791;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;100;5;2399054;1868881;4;2399055;0;NOSTRESS
198054427521;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;6;2;2393541;1863477;4;2393543;0;NOSTRESS
198054444220;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;103;5;2399810;1869762;8;2399811;0;NOSTRESS
198054461019;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;5;2;2392963;1862164;8;2392963;0;NOSTRESS
198054477711;16807;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;110;2;2400722;1872590;8;2400723;0;NOSTRESS
198054494522;16806;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;114;5;2399669;1869225;16;2399670;0;NOSTRESS
198054511333;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;5;2;2394830;1865392;4;2394832;0;NOSTRESS
198054528042;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;111;4;2399533;1868396;100;2399534;0;NOSTRESS
198054544836;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;5;2;2392427;1861960;4;2392429;0;NOSTRESS
198054561527;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;103;4;2399630;1870063;156;2399631;0;NOSTRESS
198054578357;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;4;1;2392736;1862926;8;2392738;0;NOSTRESS
198054595054;16804;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;107;5;2399472;1869191;16;2399473;0;NOSTRESS
198054611862;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;5;2;2393068;1862111;4;2393070;0;NOSTRESS
198054628556;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;102;5;2400641;1868930;68;2400642;0;NOSTRESS
198054645351;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;5;2;2394220;1863879;4;2394221;0;NOSTRESS
198054662050;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;3;99;5;2399144;1869088;8;2399141;0;NOSTRESS
198054678861;24773;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001636;3;105;4;3434779;2480049;536;3434772;0;NOSTRESS
198055943169;361353;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;4;1482;185;51535370;39924689;10042;51535363;0;NOSTRESS
198055943195;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;4;1;12;1519;1246;1192;1520;0;NOSTRESS
198055943287;97;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;4;2;5;5204;4497;568;5196;0;NOSTRESS
198055943388;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;4;0;3;750;603;264;742;0;NOSTRESS
198055943416;107;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;4;2;1;10387;8077;548;10380;0;NOSTRESS
198055943527;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;4;0;1;696;635;184;690;0;NOSTRESS
198055943555;16951;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;137;33;2399749;1876104;5690;2399742;0;NOSTRESS
198055960511;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;4;1;2390510;1861785;4;2390519;0;NOSTRESS
198055977205;16871;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;127;9;2401497;1874422;528;2401498;0;NOSTRESS
198055994080;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;5;2;2392179;1863320;4;2392179;0;NOSTRESS
198056010780;16817;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;115;10;2398424;1870955;136;2398425;0;NOSTRESS
198056027602;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;5;2;2393084;1861284;4;2393089;0;NOSTRESS
198056044295;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;112;5;2399909;1869778;4;2399910;0;NOSTRESS
198056061093;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;7;2;2393392;1861362;4;2393394;0;NOSTRESS
198056077781;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;108;7;2399002;1867831;12;2399003;0;NOSTRESS
198056094571;16785;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;107;6;2399976;1869277;4;2399978;0;NOSTRESS
198056111360;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;3;2;2393210;1861476;4;2393212;0;NOSTRESS
198056128051;16785;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;113;5;2399680;1868941;12;2399681;0;NOSTRESS
198056144841;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;5;2;2392822;1860962;4;2392824;0;NOSTRESS
198056161527;16822;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;121;5;2401073;1869186;128;2401074;0;NOSTRESS
198056178354;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;4;2;2392293;1860631;4;2392295;0;NOSTRESS
198056195040;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;98;6;2398624;1865787;72;2398625;0;NOSTRESS
198056211826;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;4;2;2393088;1861713;4;2393090;0;NOSTRESS
198056228518;16764;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;101;8;2397118;1863552;4;2397119;0;NOSTRESS
198056245286;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;4;2;2394168;1862808;4;2394170;0;NOSTRESS
198056261981;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;4;115;5;2399239;1867365;24;2399236;0;NOSTRESS
198056278798;25720;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001636;4;101;10;3568485;2573485;516;3568477;0;NOSTRESS
198057543134;362878;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;5;1495;174;51724134;40121254;12740;51724129;0;NOSTRESS
198057543161;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;5;2;14;1561;1328;1220;1561;0;NOSTRESS
198057543253;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;5;2;5;5302;4647;532;5297;0;NOSTRESS
198057543352;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;5;0;3;745;578;300;737;0;NOSTRESS
198057543379;107;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;5;2;2;10403;8133;604;10396;0;NOSTRESS
198057543490;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;5;1;1;706;633;212;700;0;NOSTRESS
198057543519;16963;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;122;31;2404457;1878626;5488;2404450;0;NOSTRESS
198057560487;16853;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;14;3;2395187;1866618;45;2395203;0;NOSTRESS
198057577344;16852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;110;5;2402671;1874999;168;2402672;0;NOSTRESS
198057594201;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;6;1;2395048;1867104;4;2395048;0;NOSTRESS
198057610914;16818;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;105;6;2401961;1874774;4;2401962;0;NOSTRESS
198057627736;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;4;2;2395094;1866940;4;2395096;0;NOSTRESS
198057644448;16865;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;124;7;2403253;1874817;612;2403254;0;NOSTRESS
198057661317;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;6;2;2395098;1865958;4;2395099;0;NOSTRESS
198057678026;16821;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;109;2;2402777;1875504;4;2402778;0;NOSTRESS
198057694851;16802;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;105;6;2401082;1872116;8;2401083;0;NOSTRESS
198057711658;16721;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;4;2;2396529;1869527;8;2396531;0;NOSTRESS
198057728383;16801;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;101;5;2401289;1872715;4;2401290;0;NOSTRESS
198057745188;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;4;2;2395323;1866624;8;2395325;0;NOSTRESS
198057761899;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;94;5;2401863;1873109;12;2401864;0;NOSTRESS
198057778717;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;4;2;2395637;1867176;8;2395639;0;NOSTRESS
198057795430;16802;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;108;2;2401268;1872819;52;2401269;0;NOSTRESS
198057812237;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;5;2;2395832;1867404;8;2395833;0;NOSTRESS
198057828951;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;132;7;2401856;1873855;232;2401859;0;NOSTRESS
198057845805;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;5;2;2396557;1865404;8;2396559;0;NOSTRESS
198057862511;16808;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;5;102;8;2402071;1872559;76;2402068;0;NOSTRESS
198057879340;26667;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001636;5;109;7;3700213;2668046;492;3700205;0;NOSTRESS
198059143110;363254;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;6;1444;166;51804652;40080191;9862;51804646;0;NOSTRESS
198059143135;79;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;6;1;12;1536;1279;1156;1535;0;NOSTRESS
198059143219;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;6;2;5;5323;4633;532;5315;0;NOSTRESS
198059143321;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;6;0;3;744;604;264;736;0;NOSTRESS
198059143348;105;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;6;2;2;10413;8148;520;10406;0;NOSTRESS
198059143457;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;6;0;1;694;628;208;689;0;NOSTRESS
198059143486;16930;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;134;31;2400209;1869847;5558;2400202;0;NOSTRESS
198059160421;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;5;3;2394561;1862278;8;2394563;0;NOSTRESS
198059177123;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;98;6;2398638;1867187;36;2398639;0;NOSTRESS
198059193917;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;4;2;2390861;1860886;8;2390863;0;NOSTRESS
198059210607;16791;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;108;1;2397852;1865583;8;2397853;0;NOSTRESS
198059227402;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;6;2;2392051;1860823;8;2392052;0;NOSTRESS
198059244089;16791;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;103;6;2397141;1867859;92;2397142;0;NOSTRESS
198059260884;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;6;2;2392150;1862363;4;2392152;0;NOSTRESS
198059277573;16779;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;115;2;2398678;1865823;108;2398679;0;NOSTRESS
198059294356;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;118;10;2400000;1865955;492;2400001;0;NOSTRESS
198059311204;16673;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;6;1;2391698;1858197;8;2391699;0;NOSTRESS
198059327881;16771;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;114;6;2398496;1864684;8;2398498;0;NOSTRESS
198059344656;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;3;2;2392532;1859569;4;2392534;0;NOSTRESS
198059361338;16776;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;101;8;2398459;1866572;4;2398460;0;NOSTRESS
198059378118;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;5;2;2392290;1858968;8;2392291;0;NOSTRESS
198059394796;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;99;5;2397501;1866015;32;2397502;0;NOSTRESS
198059411595;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;4;2;2392647;1859606;8;2392649;0;NOSTRESS
198059428278;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;99;5;2398465;1865365;112;2398466;0;NOSTRESS
198059445080;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;5;1;2392035;1861473;4;2392037;0;NOSTRESS
198059461769;16787;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;6;112;2;2399690;1867988;8;2399687;0;NOSTRESS
198059478578;27781;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001636;6;125;8;3850707;2770256;564;3850699;0;NOSTRESS
198060743089;365062;"MAF";"INTERVAL";"PROBE";4;63;0x00001636;7;1472;168;51978917;40318465;11492;51978910;0;NOSTRESS
198060743111;86;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001636;7;1;12;1544;1277;1176;1540;0;NOSTRESS
198060743201;97;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001636;7;2;5;5338;4669;516;5330;0;NOSTRESS
198060743302;27;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001636;7;0;3;745;601;300;737;0;NOSTRESS
198060743334;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001636;7;2;1;10375;8036;552;10368;0;NOSTRESS
198060743449;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001636;7;0;1;694;628;172;689;0;NOSTRESS
198060743477;16966;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;7;121;27;2402457;1878097;5192;2402450;0;NOSTRESS
198060760447;16722;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;7;4;3;2393820;1868792;16;2393821;0;NOSTRESS
198060777173;16825;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;7;109;5;2399729;1874866;48;2399730;0;NOSTRESS
198060794003;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001636;7;8;1;2393551;1866482;8;2393552;0;NOSTRESS
