TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
208695175498;1186094;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;0;92525329;32306120;13487360;8990793;631501;17178;0;STSB
208695176423;241;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;0;2482;638;578;414;37;8;0;STSB
208695176674;353;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;0;8056;2373;1318;1012;93;1;0;STSB
208695177035;94;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;0;3019;700;480;525;66;3;0;STSB
208695177136;387;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;0;21134;7612;2054;1631;130;9;0;STSB
208695177532;69;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;0;1093;254;226;191;13;0;0;STSB
208695177608;58490;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4360994;1520212;636087;427104;31372;1049;0;STSB
208695236136;56473;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4361495;1520660;635584;428047;32146;1045;0;STSB
208695292642;55500;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4327079;1512790;630991;421784;30154;894;0;STSB
208695348180;54787;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4311805;1509172;629488;417794;29849;793;0;STSB
208695402998;55426;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4323726;1511931;631045;419993;30357;859;0;STSB
208695458469;55143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4316867;1510329;630396;418084;28905;867;0;STSB
208695513651;55488;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4325208;1512307;630983;420856;30556;903;0;STSB
208695569179;54767;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4311187;1509031;629487;417502;31166;881;0;STSB
208695623986;55144;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4316881;1510489;630123;418554;30505;863;0;STSB
208695679166;54590;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4309319;1508765;628961;417497;28520;845;0;STSB
208695733788;53897;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4294629;1505281;627474;413743;28263;704;0;STSB
208695787717;54423;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4306410;1508043;628964;416082;28405;765;0;STSB
208695842176;54507;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4307078;1508213;628960;416423;28350;783;0;STSB
208695896714;54376;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4307182;1508228;628962;416441;28402;807;0;STSB
208695951135;53949;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4296257;1505699;627473;414572;28228;711;0;STSB
208696005121;54427;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4307403;1508288;628959;416568;28397;848;0;STSB
208696059583;54780;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4311199;1509154;629545;417162;28433;741;0;STSB
208696114400;54102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4294941;1505362;627471;413906;28280;770;0;STSB
208696168536;54694;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4310268;1508887;629259;417068;28545;832;0;STSB
208696223264;55078;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;0;4338565;1515451;632662;422937;28653;870;0;STSB
208696278393;83175;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b95;0;6110020;2077270;873004;607585;43170;327;0;STSB
208696756421;1228756;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;1;94190568;32690902;13670738;9291475;657296;20927;0;STSB
208696756487;251;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;1;2483;638;578;414;36;11;0;STSB
208696756752;361;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;1;8057;2371;1316;1011;86;1;0;STSB
208696757121;48;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;1;1166;269;246;180;12;0;0;STSB
208696757174;381;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;1;21139;7611;2054;1631;142;12;0;STSB
208696757566;63;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;1;1093;254;226;191;14;0;0;STSB
208696757640;60647;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4389503;1524445;637183;430165;32223;1131;0;STSB
208696818322;93791;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;5737447;1818695;782413;695648;59830;4135;0;STSB
208696912153;61533;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4409954;1531349;642493;437197;32049;1037;0;STSB
208696973740;54241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4297780;1505950;627877;414370;29634;842;0;STSB
208697028020;57416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4435527;1537845;644457;443766;31815;1424;0;STSB
208697085478;54782;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4309626;1508746;629378;416723;29405;861;0;STSB
208697140296;53955;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4296130;1505668;627476;414500;28281;786;0;STSB
208697194301;56524;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4331865;1514018;632212;421389;29320;918;0;STSB
208697250868;55397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4341556;1516179;632654;424424;28811;982;0;STSB
208697306298;54538;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4308282;1508523;628967;417017;28459;881;0;STSB
208697360870;53842;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4294649;1505279;627471;413750;28318;760;0;STSB
208697414746;54484;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4307849;1508405;628967;416796;28389;764;0;STSB
208697469277;54970;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4310074;1508910;629353;416773;28586;831;0;STSB
208697524282;53910;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4294675;1505292;627473;413760;28315;823;0;STSB
208697578224;54430;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4305803;1507906;628964;415796;28340;832;0;STSB
208697632694;54701;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4309451;1508796;628962;417599;28393;747;0;STSB
208697687437;54845;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4315008;1509977;630041;417963;30194;793;0;STSB
208697742324;54202;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4298834;1506251;628061;414532;28378;809;0;STSB
208697796563;54624;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4305815;1507899;628963;415792;28367;792;0;STSB
208697851227;54526;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;1;4308377;1508546;628962;417055;28378;729;0;STSB
208697905787;79372;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b95;1;6216199;2124044;888100;607713;41116;22;0;STSB
208698356584;1187664;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;2;92837586;32424118;13533484;9005968;626442;17060;0;STSB
208698356648;252;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;2;2483;638;578;414;33;11;0;STSB
208698356910;389;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;2;9841;3094;1589;1190;121;3;0;STSB
208698357307;60;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;2;1166;269;246;180;11;0;0;STSB
208698357373;367;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;2;21144;7619;2054;1631;130;4;0;STSB
208698357751;70;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;2;1092;254;226;191;14;0;0;STSB
208698357830;54448;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4302046;1506783;627974;415924;30282;890;0;STSB
208698412323;54777;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4306545;1508011;628962;416258;31202;790;0;STSB
208698467141;54652;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4306990;1508111;628965;416493;30403;801;0;STSB
208698521838;54569;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4307771;1508247;628969;416816;28581;780;0;STSB
208698576440;54913;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4310308;1509038;629721;416539;28881;853;0;STSB
208698631398;54436;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4306471;1507936;628973;416179;28604;831;0;STSB
208698685869;54413;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4306042;1507833;628974;415966;28569;835;0;STSB
208698740322;54418;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4297737;1505898;627750;414752;28491;797;0;STSB
208698794789;54508;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4307857;1508292;628975;416878;28511;788;0;STSB
208698849337;54581;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4305988;1507831;628974;415972;28494;759;0;STSB
208698903956;54496;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4306240;1507887;628971;416107;28427;774;0;STSB
208698958494;64798;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4469875;1544875;649094;448192;33262;1665;0;STSB
208699023329;55238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4319271;1510851;630615;419424;28874;855;0;STSB
208699078604;54514;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4307347;1508147;628974;416614;28578;854;0;STSB
208699133150;54497;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4306910;1508069;628968;416444;28498;853;0;STSB
208699187691;53872;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4296120;1505511;627490;414543;28393;742;0;STSB
208699241612;54546;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4307816;1508272;628973;416863;28476;734;0;STSB
208699296200;54506;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4308485;1508453;628969;417225;28459;747;0;STSB
208699350744;54239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4299411;1506333;627840;415188;28510;834;0;STSB
208699405025;54809;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;2;4312044;1509235;629563;417649;28596;794;0;STSB
208699459873;84357;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b95;2;6478349;2209595;925206;637016;43675;66;0;STSB
208699956662;1179079;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;3;93032433;32497843;13561125;9019624;623421;15913;0;STSB
208699956733;265;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;3;2481;638;578;414;33;11;0;STSB
208699957008;384;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;3;9859;3106;1591;1190;115;3;0;STSB
208699957402;49;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;3;1166;269;246;180;11;0;0;STSB
208699957457;356;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;3;21127;7609;2054;1631;121;6;0;STSB
208699957822;79;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;3;1092;254;226;191;16;0;0;STSB
208699957908;54092;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4299644;1506387;627685;415456;29883;911;0;STSB
208700012041;54501;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4311235;1509213;628968;418352;28838;855;0;STSB
208700066586;54598;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4306677;1508075;628969;416088;28674;799;0;STSB
208700121220;54535;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4306528;1508026;628959;416032;28598;781;0;STSB
208700175796;53866;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4297475;1505947;627475;415041;28509;738;0;STSB
208700229700;54931;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4311621;1509201;629558;417212;28829;769;0;STSB
208700284674;58001;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4493468;1551860;653678;450678;33762;922;0;STSB
208700342715;53883;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4294797;1505275;627480;413724;28536;800;0;STSB
208700396632;54542;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4308044;1508399;628975;416784;28619;822;0;STSB
208700451222;54499;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4307786;1508343;628971;416659;28625;762;0;STSB
208700505760;54554;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4308883;1508622;628979;417222;28584;801;0;STSB
208700560365;53941;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4296141;1505620;627478;414396;28476;765;0;STSB
208700614340;54527;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4308182;1508456;628973;416870;28575;774;0;STSB
208700668905;54584;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4307111;1508191;628969;416332;28607;757;0;STSB
208700723527;53851;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4295773;1505544;627474;414242;28443;813;0;STSB
208700777414;54698;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4307802;1508353;628965;416652;28585;735;0;STSB
208700832145;54510;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4308044;1508437;628970;416830;28544;778;0;STSB
208700886690;53878;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4294768;1505283;627484;413718;28453;727;0;STSB
208700940604;54879;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4310660;1509019;629359;416958;28713;752;0;STSB
208700995522;54585;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;3;4309245;1508710;628969;417365;28646;812;0;STSB
208701050150;85571;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b95;3;6680585;2281970;954201;654087;44251;20;0;STSB
208701556614;1180929;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;4;93131751;32548200;13579073;9014081;620019;15846;0;STSB
208701556685;280;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;4;2484;638;578;414;34;11;0;STSB
208701556981;420;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;4;9842;3098;1589;1191;119;0;0;STSB
208701557407;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;4;1165;269;246;180;10;0;0;STSB
208701557481;369;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;4;21131;7611;2057;1631;122;6;0;STSB
208701557859;59;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;4;1093;254;226;191;15;0;0;STSB
208701557925;54118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4298685;1506077;627716;415060;28872;912;0;STSB
208701612080;54651;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4308246;1508414;628964;417046;28814;816;0;STSB
208701666772;54550;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4307934;1508352;628968;416911;28705;791;0;STSB
208701721362;54510;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4306294;1507929;628968;416087;28607;745;0;STSB
208701775909;53917;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4294478;1505154;627480;413736;28478;790;0;STSB
208701829867;54746;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4305697;1507796;628968;415803;28660;779;0;STSB
208701884652;54721;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4310030;1508768;629563;416608;28807;795;0;STSB
208701939407;53965;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4294983;1505292;627479;414003;28539;787;0;STSB
208701993411;54414;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4307093;1508134;628979;416492;28644;759;0;STSB
208702047869;54750;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4309463;1508696;629044;417471;28597;760;0;STSB
208702102660;53987;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4295913;1505546;627480;414498;28430;751;0;STSB
208702156680;54462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4305642;1507783;628973;415792;28573;740;0;STSB
208702211186;54531;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4306807;1508088;628965;416368;28593;814;0;STSB
208702265761;54550;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4307559;1508241;628974;416712;28564;765;0;STSB
208702320346;53988;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4294394;1505148;627480;413718;28462;766;0;STSB
208702374369;54553;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4307964;1508355;628966;416930;28637;803;0;STSB
208702428960;54787;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4307075;1508132;628971;416499;28587;708;0;STSB
208702483790;54443;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4298178;1506061;627735;414979;28585;831;0;STSB
208702538274;54771;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4310246;1508883;629361;416969;28741;814;0;STSB
208702593083;55894;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;4;4349719;1518113;634663;424379;29816;898;0;STSB
208702649015;88511;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b95;4;6937413;2370332;990789;679093;45657;4;0;STSB
208703157346;1187797;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;5;93671345;32705182;13653372;9088155;622341;16048;0;STSB
208703157402;238;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;5;2484;638;578;414;33;11;0;STSB
208703157648;372;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;5;9851;3099;1591;1191;112;3;0;STSB
208703158027;51;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;5;1166;269;246;180;9;0;0;STSB
208703158084;614;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;5;27904;9201;2987;2968;343;18;0;STSB
208703158708;88;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;5;1091;254;226;191;16;0;0;STSB
208703158805;54070;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4298690;1506218;627688;414978;28564;925;0;STSB
208703212915;54484;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4306091;1508007;628965;415836;28553;839;0;STSB
208703267435;54581;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4306026;1507991;628966;415801;28427;828;0;STSB
208703322051;54596;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4309158;1508777;628969;417351;28436;760;0;STSB
208703376682;54137;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4294745;1505356;627478;413723;28288;711;0;STSB
208703430855;54447;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4306804;1508191;628966;416189;28427;812;0;STSB
208703485336;54542;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4307795;1508440;628982;416681;28385;775;0;STSB
208703539906;53725;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4294696;1505353;627480;413723;28280;812;0;STSB
208703593669;54829;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4310914;1509119;629569;416915;28521;793;0;STSB
208703648530;54685;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4307353;1508327;628972;416468;28425;742;0;STSB
208703703263;54520;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4307743;1508426;628970;416684;28360;819;0;STSB
208703757816;54000;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4294739;1505362;627480;413738;28248;766;0;STSB
208703811860;54657;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4306361;1508092;628969;415999;28341;831;0;STSB
208703866555;54528;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4305948;1507988;628972;415791;28383;765;0;STSB
208703921124;55513;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4319757;1511217;630834;418413;29057;812;0;STSB
208703976675;54449;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4307066;1508255;628974;416309;28417;827;0;STSB
208704031165;54515;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4307402;1508328;628977;416486;28407;788;0;STSB
208704085717;53901;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4295668;1505580;627480;414189;28250;730;0;STSB
208704139655;54732;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4310729;1509153;629321;417143;28505;826;0;STSB
208704194422;54569;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;5;4307308;1508312;628972;416456;28426;807;0;STSB
208704249028;96096;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b95;5;7491641;2528193;1066869;759018;52814;48;0;STSB
208704756475;1187104;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;6;93685533;32739621;13656850;9069307;619586;16201;0;STSB
208704756537;269;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;6;2481;638;578;414;32;11;0;STSB
208704756817;428;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;6;9842;3097;1590;1190;113;3;0;STSB
208704757256;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;6;1167;269;246;180;12;11;0;STSB
208704757326;350;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;6;21139;7618;2054;1631;130;3;0;STSB
208704757685;57;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;6;1092;254;226;191;14;0;0;STSB
208704757748;54195;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4298779;1506201;627712;415047;28609;919;0;STSB
208704811995;54574;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4307741;1508390;628967;416724;28552;809;0;STSB
208704866604;54568;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4309831;1508906;628969;417757;28483;799;0;STSB
208704921208;54448;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4306428;1508055;628967;416063;28484;775;0;STSB
208704975693;53858;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4296007;1505637;627476;414432;28270;720;0;STSB
208705029589;54491;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4308576;1508583;628969;417147;28433;757;0;STSB
208705084115;54708;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4310433;1508946;629247;417286;28481;823;0;STSB
208705138868;53737;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4294555;1505285;627482;413712;28298;762;0;STSB
208705192648;54507;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4305919;1507929;628975;415818;28403;862;0;STSB
208705247199;56365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4336202;1514938;632986;421520;29561;872;0;STSB
208705303595;54511;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4307376;1508293;628978;416513;28477;860;0;STSB
208705358145;53824;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4294976;1505372;627478;413907;28312;814;0;STSB
208705412025;54649;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4308230;1508520;628973;416999;28390;847;0;STSB
208705466720;54575;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4308625;1508618;628972;417190;28384;781;0;STSB
208705521323;53837;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4296844;1505843;627481;414820;28342;802;0;STSB
208705575190;54509;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4306592;1508106;628963;416184;28359;762;0;STSB
208705629740;54919;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4314633;1510007;629717;418478;28586;814;0;STSB
208705684697;53866;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4294548;1505269;627476;413708;28286;796;0;STSB
208705738595;54916;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4311136;1509196;629337;417350;28582;812;0;STSB
208705793552;54473;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;6;4305925;1507932;628971;415841;28371;781;0;STSB
208705848060;95504;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000b95;6;7494231;2560683;1070169;733885;49277;6;0;STSB
208706356469;1193081;"MAF";"INTERVAL";"PROBE";1;63;0x00000b95;7;94009766;32848503;13704971;9098040;622497;16074;0;STSB
208706356532;257;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000b95;7;2482;638;578;414;33;8;0;STSB
208706356796;401;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000b95;7;9839;3095;1592;1191;117;12;0;STSB
208706357211;46;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000b95;7;1165;269;246;180;10;0;0;STSB
208706357263;350;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000b95;7;21127;7611;2055;1631;124;9;0;STSB
208706357622;65;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000b95;7;1092;254;226;191;16;3;0;STSB
208706357695;54844;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4300822;1506660;627946;415486;28775;847;0;STSB
208706412596;54554;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4308806;1508634;628958;417222;28707;811;0;STSB
208706467190;54469;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4306854;1508170;628959;416310;28526;868;0;STSB
208706521697;55021;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4338790;1515539;632841;422853;28597;909;0;STSB
208706576760;55671;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4320698;1511327;630973;418557;29151;886;0;STSB
208706632472;54325;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4307192;1508225;628961;416454;28535;829;0;STSB
208706686841;54448;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4308139;1508478;628967;416950;28474;815;0;STSB
208706741330;53734;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4294485;1505253;627470;413707;28324;820;0;STSB
208706795097;54534;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000b95;7;4306909;1508190;628972;416355;28414;740;0;STSB
